epoch,train_loss,eval_loss,train_pearson,train_spearman,val_pearson,val_spearman,lr
1,1.1845253705978394,1.0362849235534668,0.013634794391691685,0.010708967343540036,0.014085734263062477,0.010909163004714688,2.9999999999999997e-05
2,1.136542558670044,1.0351033210754395,0.01418735645711422,0.011183965441730732,0.01465566549450159,0.011351498445560052,5.9999999999999995e-05
3,1.1336256265640259,1.0320640802383423,0.016072429716587067,0.012841443624710307,0.01644408144056797,0.0128347829738646,8.999999999999999e-05
4,1.1291632652282715,1.0274696350097656,0.021042613312602043,0.01736370628172619,0.02106010727584362,0.016818026459622496,0.00011999999999999999
5,1.1224967241287231,1.0213415622711182,0.030738890171051025,0.026044228958328672,0.03042643517255783,0.025049189197382506,0.00015
6,1.1145992279052734,1.0142757892608643,0.04525366425514221,0.0387704740349429,0.045391734689474106,0.03828672926406754,0.00017999999999999998
7,1.1076396703720093,1.0076111555099487,0.06124475970864296,0.052640295140084344,0.06184152141213417,0.052637886212364475,0.00020999999999999998
8,1.1008226871490479,1.0010485649108887,0.07840967923402786,0.06741279751750236,0.07915788143873215,0.06730951670254462,0.00023999999999999998
9,1.094120979309082,0.9936800003051758,0.09879903495311737,0.0846541715876831,0.09969305247068405,0.08432440477473477,0.00026999999999999995
10,1.0879777669906616,0.9856769442558289,0.12093526870012283,0.10267998958576446,0.12228340655565262,0.10233953985976348,0.0003
11,1.0821892023086548,0.9777621626853943,0.1418517827987671,0.11924104619708421,0.14391380548477173,0.1192948959730087,0.0002999992699258049
12,1.0766130685806274,0.9704242944717407,0.16186648607254028,0.13513238232027003,0.16418330371379852,0.13522564459109254,0.00029999707971057146
13,1.072140097618103,0.9627863764762878,0.1847650110721588,0.15319811652607107,0.18748536705970764,0.15344726548989035,0.000299993429376355
14,1.0672446489334106,0.9552053809165955,0.20871864259243011,0.17190830611469318,0.2119419127702713,0.17229363294632202,0.00029998831895991463
15,1.0631558895111084,0.9478479623794556,0.23273320496082306,0.19113702513183448,0.23664969205856323,0.1918886783887305,0.00029998174851271194
16,1.059843897819519,0.9408323764801025,0.25598299503326416,0.21005439419552951,0.260342001914978,0.21095772980330663,0.00029997371810091124
