epoch,train_loss,eval_loss,train_pearson,train_spearman,val_pearson,val_spearman,lr
1,1.2283676862716675,1.0409917831420898,0.028480935841798782,0.01855491672589393,,,2.9999999999999997e-05
2,1.1380226612091064,1.0379822254180908,0.031191525980830193,0.020500909455243303,,,5.9999999999999995e-05
3,1.1346213817596436,1.030285358428955,0.03736140951514244,0.024861871009890315,,,8.999999999999999e-05
4,1.1259362697601318,1.021422266960144,0.048059798777103424,0.03272953349809733,,,0.00011999999999999999
5,1.115419864654541,1.013939380645752,0.06242503225803375,0.043629402581770005,,,0.00015
6,1.1052006483078003,1.0071258544921875,0.07702769339084625,0.05403246680650482,,,0.00017999999999999998
7,1.0968116521835327,0.9977015256881714,0.09652438759803772,0.06836698264205082,,,0.00020999999999999998
8,1.0898884534835815,0.9861080050468445,0.12202028930187225,0.08818822615725365,,,0.00023999999999999998
9,1.0828052759170532,0.9755103588104248,0.14850161969661713,0.10812226913582568,,,0.00026999999999999995
10,1.0762799978256226,0.966867983341217,0.17578350007534027,0.1286193491757543,,,0.0003
11,1.0702146291732788,0.9599100947380066,0.20184515416622162,0.14697482232964337,,,0.0002999992699258049
12,1.0655831098556519,0.9532515406608582,0.22724619507789612,0.16451581281016384,,,0.00029999707971057146
13,1.0604687929153442,0.9465145468711853,0.2511140704154968,0.18217358038930132,,,0.000299993429376355
14,1.0561681985855103,0.939842939376831,0.2732437252998352,0.19996817098044992,,,0.00029998831895991463
15,1.051271915435791,0.9331686496734619,0.2936084568500519,0.2177973150395073,,,0.00029998174851271194
16,1.0464593172073364,0.9261776208877563,0.3131258189678192,0.23625225879903738,,,0.00029997371810091124
17,1.0425525903701782,0.9197254776954651,0.32822391390800476,0.2500753980446718,,,0.00029996422780537884
18,1.037731647491455,0.9140944480895996,0.33805397152900696,0.25890322530042154,,,0.00029995327772168185
19,1.0319361686706543,0.9084941148757935,0.345220685005188,0.2657491014283917,,,0.00029994086796008743
20,1.0262693166732788,0.9025883674621582,0.3499135375022888,0.27083952713483367,,,0.0002999269986455618
21,1.019514560699463,0.8963398933410645,0.3510696291923523,0.27347326581600956,,,0.00029991166991776886
22,1.0111849308013916,0.8898364305496216,0.34896501898765564,0.27561252506964246,,,0.00029989488193106874
23,1.0014253854751587,0.8832005262374878,0.34358593821525574,0.2766217925949397,,,0.0002998766348545161
24,0.9907646179199219,0.8767236471176147,0.3353191614151001,0.2760416220612778,,,0.0002998569288718588
25,0.9783885478973389,0.8710328936576843,0.32563742995262146,0.2761009655518576,,,0.0002998357641815362
26,0.9653846621513367,0.86739581823349,0.31622669100761414,0.2763905775010939,,,0.00029981314099667615
27,0.9525987505912781,0.8668909072875977,0.30833855271339417,0.27724476801532877,,,0.00029978905954509397
28,0.9412909150123596,0.8692432045936584,0.3034399449825287,0.2795781809447621,,,0.0002997635200692897
29,0.9327026605606079,0.8721446990966797,0.30156010389328003,0.2840637336575474,,,0.00029973652282644543
30,0.9262319803237915,0.8730205297470093,0.3018897473812103,0.29109936882843374,,,0.00029970806808842323
31,0.9203425049781799,0.8711735010147095,0.3058013617992401,0.29874431408895374,,,0.0002996781561417619
32,0.9150413274765015,0.8659966588020325,0.3137147128582001,0.30469521327950183,,,0.0002996467872876745
33,0.9090645909309387,0.857367753982544,0.32448992133140564,0.3118855861986425,,,0.00029961396184204504
34,0.90122389793396,0.8460702896118164,0.337085098028183,0.32040933836674834,,,0.0002995796801354252
35,0.8938109874725342,0.8340427875518799,0.35151150822639465,0.32821028961888504,,,0.0002995439425130317
36,0.8869048357009888,0.8234262466430664,0.3680383861064911,0.33410422867324163,,,0.00029950674933474167
37,0.8809590935707092,0.8144588470458984,0.3829006850719452,0.33866011086669745,,,0.00029946810097509027
38,0.8762412071228027,0.8062739968299866,0.39301156997680664,0.34325043684467854,,,0.00029942799782326597
39,0.8717741370201111,0.8003695607185364,0.4008033871650696,0.34821557024797406,,,0.00029938644028310697
40,0.8666794300079346,0.7965622544288635,0.40679436922073364,0.35343832962301786,,,0.0002993434287730973
41,0.8613206148147583,0.7930883169174194,0.4097081124782562,0.35802597795721597,,,0.0002992989637263624
42,0.8555446267127991,0.7891384959220886,0.41096314787864685,0.3617274890373498,,,0.0002992530455906648
43,0.8488503098487854,0.7855949997901917,0.41413214802742004,0.36541822043177413,,,0.00029920567482839963
44,0.8432690501213074,0.7815690040588379,0.42031002044677734,0.36901446906822494,,,0.00029915685191658986
45,0.8369767665863037,0.7744259238243103,0.42724713683128357,0.3719135233533357,,,0.00029910657734688183
46,0.8314830660820007,0.7655715346336365,0.43514350056648254,0.37520345823557827,,,0.0002990548516255397
47,0.8259010314941406,0.7583049535751343,0.4446650445461273,0.3793525426131792,,,0.00029900167527344113
48,0.819485604763031,0.7514898180961609,0.452635794878006,0.38379375241815034,,,0.00029894704882607126
49,0.8139653205871582,0.7445844411849976,0.4576050937175751,0.3880509100986132,,,0.00029889097283351774
50,0.8082470297813416,0.7405389547348022,0.4616675078868866,0.3908383125470506,,,0.0002988334478604654
51,0.8029731512069702,0.7377842664718628,0.4632870852947235,0.3917212371610954,,,0.00029877447448618984
52,0.7980954051017761,0.7349341511726379,0.46261313557624817,0.3917675392229744,,,0.00029871405330455234
53,0.7925887107849121,0.7336882948875427,0.4626520872116089,0.3909599268497802,,,0.0002986521849239937
54,0.7891687750816345,0.7323204874992371,0.46498849987983704,0.3906357427897927,,,0.0002985888699675277
55,0.7856906652450562,0.7287888526916504,0.4673015773296356,0.39269975696480103,,,0.0002985241090727352
56,0.7822237610816956,0.7263150811195374,0.47053128480911255,0.3942987664785844,,,0.0002984579028917579
57,0.7791782021522522,0.7245336174964905,0.4731859266757965,0.39523824133518654,,,0.00029839025209129103
58,0.7761381268501282,0.7217112183570862,0.4744727313518524,0.3973969484376509,,,0.0002983211573525775
59,0.7730804085731506,0.7188243269920349,0.47607576847076416,0.4000314603899299,,,0.00029825061937140075
60,0.7702750563621521,0.7164607048034668,0.47866183519363403,0.40235710077094694,,,0.0002981786388580772
61,0.7666107416152954,0.7140282392501831,0.48123499751091003,0.4049395466532678,,,0.00029810521653745
