gene
MBP
AQP4
SPARC
PLP1
HIST1H1C
GADD45G
ITM2C
HIST1H1B
EGFR
ID4
HES6
SRI
ADGRG1
LRIG1
YBX1
RGMA
PTPRZ1
SOX4
NRXN1
SDC3
H3F3A
DBI
CCNI
DPYSL3
MAP4K4
PHYHIPL
CIRBP
DYNC1LI2
CFL1
HSPA8
EEF1G
PEBP1
MIF
KIF1B
SOX2
C12orf57
VCAN
MLLT11
MYL6
TIMP3
BEX3
ENAH
UBA52
RTN3
PMP2
AKT3
LAPTM4B
NOVA1
DNER
EEF2
NCAN
NFIX
PTPRS
NHP2
NFIB
TSPAN3
ZBTB20
CORO1C
PRDX2
HNRNPA2B1
APP
DCLK2
CCDC88A
SPECC1
HNRNPA3
DPYSL2
PFN1
NME2
SPAG9
FTL
FAM181B
MT-ND5
CNN3
OLIG1
MAP1B
QKI
GPX4
CALCRL
SELENOW
PEA15
MT-ND1
PTMS
GDI1
HNRNPH3
TMSB15A
NTRK2
CDK2AP1
MSTN
FADS2
DDR1
EIF4A1
NREP
MAT2A
FTH1
MT-ND6
UCHL1
VIM
CPE
PPDPF
CHCHD2
TTC3
MSI2
SPTAN1
KIF5B
ATP2C1
EIF3L
CLIC4
MCL1
RHOC
SLC44A1
MTSS2
ZNF644
TPM4
HIPK2
MARCKS
TXNL4A
MFF
YWHAE
BRI3
PTN
APCDD1
DYNLRB1
GOLM1
CTXN1
ATF7IP
RTN4
OAZ1
H1FX
MAPK10
DHX36
EPHB1
CKB
SELENOH
APC
STAU2
CRABP1
HNRNPL
BAG6
SNCAIP
DSTN
MARCKSL1
ATRNL1
CTNND1
MCM7
DST
CLASP2
CFDP1
SYT11
WSB2
ACTG1
NCBP2
HNRNPD
ASPH
DYNLL2
ZNF428
NUCKS1
MAP2
MAGED2
HNRNPA0
RNF7
METRN
DTNA
LSAMP
GPM6B
BEX1
MAPT
NDFIP1
TIMP2
ALCAM
MYEF2
BEX4
CCNL2
PSAP
WSB1
RBM3
APEX1
ASXL1
METTL9
GOLIM4
CSTF3
RAB3IP
KLHDC3
TBCB
SGCB
ACTB
RACK1
RAB6B
CDKN2C
MDM4
CSNK1E
BTF3L4
WDR26
CNBP
SUMO2
APC2
GNAI2
SMC4
GLUL
KDM1A
SCD5
TTYH1
DDX5
TMSB10
TMEFF1
FEZ1
CADM4
ZEB2
MPV17
SMARCC1
NCAM1
CSRP1
KIF5C
SMARCA4
MAPK8IP1
S100A6
PRMT2
TRIR
SAT1
PJA2
ATN1
WDR82
APOE
AMOTL2
B2M
SMARCB1
TBL1XR1
ETS1
SLC39A6
CTSB
ASCL1
CST3
CD74
PFDN2
KMT2C
ID3
SEC62
MXRA7
GNB2
ATP5MC2
SSR2
RAB11B
CDH2
STAU1
CALM3
PHGDH
EEF1B2
TNR
LRRN1
LRP4
KMT2E
NPDC1
LUC7L3
AKR1B1
YWHAZ
DVL3
USP9X
IDH2
RBM5
NUDT3
SPIN1
LINGO1
SENP6
KIDINS220
SEC11C
URI1
SSRP1
HLTF
RPRD1A
PSAT1
UBE2E3
HNRNPUL1
PPP4R1
PON2
SLC30A9
BNIP3L
MT-ND3
IFI16
BRD2
SETD5
ERGIC3
GNAQ
LTBP3
NDUFAF8
LAMTOR4
FAM3C
SMARCA5
EIF4A2
NCKAP1
CBX5
CDK16
HSP90AA1
HSP90AB1
SPP1
DRAP1
USF2
TYMS
UQCRC1
RUFY3
LIX1L
SEC11A
CDH11
TSPAN7
MAGED1
SALL3
CALD1
ELAVL3
CCT6A
MSRA
JUND
STMN2
RBM33
ATP5MG
KCTD3
SUGP2
NME4
ILF3
ADCYAP1R1
TOP2A
APLP2
NDUFS4
CTTN
ANAPC11
NDRG2
UBE2D3
CAND1
ZNF22
ZNF358
RANBP9
HIST1H4C
LTBP4
PTTG1IP
OLIG2
GABARAP
BRD7
MAP4
CSPG5
VEZF1
DDT
AHCYL1
TNC
ZNF711
RNF187
DCTN1
COX7C
GADD45GIP1
NFIA
GPRC5B
NUDT21
CAMSAP2
BTBD2
ZNF532
ATP1A3
CELF2
ABAT
CDK4
PYGB
NKAIN3
TOMM20
QSER1
EVL
NEDD4L
NDUFC2
PAFAH1B1
TUFM
TFRC
LMO4
TCF4
NDUFV2
CLU
PHPT1
ZFP36L2
EID1
PPP4R3B
NDUFB5
BTG1
KMT5B
CCDC50
GPM6A
RAB13
PSMB5
DDAH2
SELENOP
CTNNA2
GRIK2
CRMP1
IGFBP7
PNISR
VEGFB
CD63
PFN2
CLCN3
SRPK2
LAMTOR1
ARHGAP35
ATP9A
SNU13
MT-ND2
SLTM
SOX8
GFAP
SPARCL1
CDK1
KHDRBS3
TXNL1
EIF4EBP2
NRCAM
NT5DC2
TRIP12
PDE4D
PRCP
HDGFL3
TNIK
MCM4
LUC7L
CCND1
SPG21
YWHAQ
AMFR
USP34
UBE2I
B4GALT5
HNRNPUL2
PCM1
OGA
VPS26B
ATP2B4
ATP5F1E
LDHB
ZHX1
CCK
SMS
SLC3A2
NDUFB11
NCAPG2
PUF60
IGSF9B
PAFAH1B2
CCDC124
ATP5F1B
HBS1L
PPP1CB
U2SURP
NOTCH1
TAOK1
