epoch,train_loss,valid_loss,valid_mean_pearson,lr
1,0.8985774011322947,0.7423018217086792,0.3862774501697573,0.00029999703912842054
2,0.7581647237141927,0.695305585861206,0.42915781622743443,0.00029998815663057245
3,0.7224841731967349,0.674457311630249,0.44916026459636915,0.0002999733528571214
4,0.7047416947104714,0.6639205813407898,0.45973303421264866,0.000299952628392495
5,0.692972952669317,0.6579724550247192,0.46567198308679764,0.0002999259840548598
6,0.683482744477012,0.6547534465789795,0.4690589340385296,0.0002998934208960884
7,0.676065029519977,0.6512941122055054,0.4725716152956252,0.00029985494020171873
8,0.668646615563017,0.6477228403091431,0.47575432470109785,0.00029981054349090264
9,0.6634121826200774,0.6455550193786621,0.47836932181234765,0.0002997602325163463
10,0.6573877569400903,0.6439452171325684,0.48010683949305,0.00029970400926424077
11,0.6505543878584197,0.6462939977645874,0.4776920521956582,0.0002996418759541838
12,0.6438655329473091,0.6443731188774109,0.480558911067877,0.00029957383503909215
13,0.6374317154739843,0.6446912288665771,0.4791362147311458,0.0002994998892051045
14,0.6322195385441636,0.6448074579238892,0.47973042285632006,0.0002994200413714759
15,0.6262415936498931,0.6497334241867065,0.47704512237225205,0.00029933429469046203
16,0.6215290228525797,0.6492249965667725,0.4774768703111476,0.00029924265254719506
17,0.6166268532926386,0.6450343132019043,0.4794361718565867,0.00029914511855954983
18,0.6102974541259535,0.6440173387527466,0.48000346225337975,0.0002990416965780013
19,0.6072119040922686,0.6456784009933472,0.48000897562892797,0.00029893239068547206
20,0.6019086079163984,0.6436545252799988,0.480757327047074,0.00029881720519717175
21,0.5985562638802961,0.6480541229248047,0.47816776872807404,0.00029869614466042604
22,0.5949544274445736,0.6428660154342651,0.48314452665101393,0.00029856921385449774
23,0.5945622415253611,0.6490296125411987,0.4782092254214534,0.0002984364177903977
24,0.5891094045205549,0.6461947560310364,0.4803782042095568,0.0002982977617106872
25,0.5867825294985916,0.6442182064056396,0.4817811125118864,0.0002981532510892708
26,0.5838848171812115,0.6427774429321289,0.48179432146452944,0.00029800289163118036
27,0.582115680882425,0.6463968753814697,0.4798686163954695,0.0002978466892723499
28,0.579676015810533,0.6414110660552979,0.48345882576590554,0.00029768465017938103
29,0.5781696312355272,0.6439924240112305,0.4817890978118237,0.0002975167807492997
30,0.5755308505260583,0.6434962749481201,0.48105372440424854,0.00029734308760930354
31,0.5737803271322539,0.6447187662124634,0.48037733435764074,0.00029716357761650034
32,0.5713685245224924,0.6450533866882324,0.4801131223631744,0.0002969782578576373
33,0.5693415620110251,0.6449993848800659,0.4815165431777839,0.0002967871356488211
34,0.5668395089380669,0.645115852355957,0.4809659661430112,0.0002965902185352293
35,0.5650498541918668,0.6478145718574524,0.4778055307453965,0.00029638751429081236
36,0.5647199768008608,0.6480183005332947,0.4779571322249801,0.00029617903091798685
37,0.5626907258322744,0.649517297744751,0.47909667825103525,0.0002959647766473192
38,0.5611161860552701,0.6496879458427429,0.4776520966632569,0.00029574475993720135
39,0.5599737655032765,0.6476083993911743,0.4793896466044601,0.00029551898947351613
40,0.5567219058672587,0.6496976017951965,0.4767141852034683,0.0002952874741692949
41,0.5560752532698892,0.6487592458724976,0.4771205306986909,0.0002950502231643655
42,0.5538670944445061,0.6510877013206482,0.4766179292984244,0.0002948072458249913
43,0.5527094295530608,0.6494098901748657,0.47728287618658316,0.0002945585517435017
44,0.5508751833077633,0.6517820358276367,0.4748801618348839,0.0002943041507379131
45,0.5503529328288455,0.6482380032539368,0.47830793927095844,0.0002940440528515417
46,0.5492184505318151,0.6487368941307068,0.47816191097086697,0.0002937782683526066
47,0.5474655339212129,0.650763750076294,0.47551857638630307,0.00029350680773382483
48,0.5450107075951316,0.6507728099822998,0.4751368103614089,0.0002932296817119967
49,0.5423569299957969,0.6514850854873657,0.4760416814442283,0.00029294690122758305
50,0.5419204542131135,0.6525864601135254,0.4748984187042993,0.00029265847744427325
51,0.5413426594300703,0.6497277021408081,0.47676170849277616,0.0002923644217485444
52,0.5387381242983269,0.6504009962081909,0.4768495561561048,0.0002920647457492118
53,0.5376580176931439,0.6520528197288513,0.47726649668879995,0.0002917594612769709
