protein,pearsonr,r2,rmse
synd,0.26051448690734086,-0.7688941372330638,1.0719926543112284
FOXP3,0.252173922062821,-0.07475997731581896,1.0256852048286405
CD16,0.18802406800976304,-0.107666858933952,1.1224720797008354
CD31,0.2888097048432848,0.07479572445584415,0.9485793279555146
CXCL13,0.17640438665367894,-0.11968926766985111,1.005331905548717
Ki67,0.23944090668127155,0.04505081545505374,0.9919232991499739
OLIG2,0.34039272772669965,0.07492899429988986,0.9571433673381007
CXCR5,0.12161207308535918,-0.1663444908370444,1.0061113067179632
HLA-A,0.17928259786654172,0.029179241417201518,0.9384455842753416
PD-L1,0.181441128097054,-0.007212348028639681,0.9467763130011048
PSD95,0.18006710252888963,-0.016630264810464368,1.015254435661011
CD20,0.07110341514577186,-0.059784318025570604,0.9065269352549565
CD68,0.08556651379676554,0.005085897168741416,0.8429384170410587
CD44,0.37824517835922605,0.044289669794591036,1.0117657117654164
SMA,0.22423105242486588,0.050045317130915534,0.9458898678696382
MSH6,0.3371777125240093,0.10954219450466252,0.8980399440399321
CD23,0.20579407026296437,-0.04153518660115396,0.9596760660235705
GFAP,0.024082678745847852,-0.15285470977902138,1.0208446572373744
SYNA,0.21616902817661965,-0.3548131498301219,1.0730706014409603
Podoplanin,0.12654401546751984,-0.02860980898196952,0.9918670072999366
Vimentin,0.17284167728233218,-0.008133313495515493,1.01714767498406
CD47,0.0918711763043748,-0.23096125815125457,1.047193181323885
CD74,0.3468998997709568,0.10144979335369975,0.9699252125235318
SIRP,0.06419663214339905,-0.25227069093352417,0.9952249819566227
Granzyme B,0.164803651672385,-0.18538738113494935,1.0433814031796025
IDH1,0.3371927668990485,0.10889918123599274,0.9646436024533287
MPO,0.21353330357674866,-0.246420064204665,0.9702723699367061
CD45,0.22351543507604166,0.00580865735060776,0.9608072853946014
CD21,0.0677979400590279,-0.19518647340009787,0.9986164737818713
FIBR,0.10207766356482179,-0.05932675122740516,0.9521130259827263
C-KIT,0.2225253779478569,-0.006540675173046573,0.9640529313483612
CD3e,0.16944952892300585,0.0029128059650420646,0.9466381780927514
TOX,0.26674177107019553,-0.04391328898214941,0.9454712741034708
PD-1,0.13202849471917627,-0.08495983880671187,0.9564532001326704
PDGFR,0.2024842534939188,-0.056450114592159206,0.989722511235423
CD4,0.21355673232714392,-0.13469703256128795,1.0358390081247468
MAP2,0.23893811308494078,-0.15293117824503089,0.8618728218572037
CD8,0.13234068653483808,-0.18445035213196337,1.0585549404490053
MGMT,0.2073852175631182,0.002711739221598175,0.8195935225151105
CD38,0.19081060518067589,-0.15631886379797,1.0395305973121536
HLA-DR,0.24224387307374654,0.05278723917883499,0.9225900853498968
CD14,0.3248514300433774,0.002382266560074564,1.0510256776314302
ICOS,0.17844284631808832,-0.07338898309407749,0.9674265210587217
Granzyme K,0.018212984581286496,-0.2556627124447881,1.076275985224923
