protein,pearsonr,r2,rmse
synd,0.34587704887427084,0.01928234227269976,0.879883247362952
FOXP3,0.3643596427704626,0.11208599766973282,0.9663206234671345
CD16,0.26598192844472024,0.068080479249774,0.9963463878018846
CD31,0.29563814581592984,0.08486637598859048,0.9658052727646581
CXCL13,0.17285669058933212,-0.012491688518987631,0.9073875805729095
Ki67,0.30576780543788185,0.08501027980998055,1.0087922959006013
OLIG2,0.44182167095528435,0.1891425758088705,0.9093537733652503
CXCR5,0.171624333249193,0.02100517513681366,0.92485356647329
HLA-A,0.22315228139129445,0.006121658359164561,0.893087560679563
PD-L1,0.22616699479523358,0.020623097090475162,0.9148133462948491
PSD95,0.2062251300003154,0.012834200161340514,0.8279092304779632
CD20,0.018794269562587597,-0.0107529846586496,0.9711637920959967
CD68,0.11684990156374953,-0.013163579273762993,0.8538739175810113
CD44,0.37825256833892473,0.14164985056649237,0.968204896365173
SMA,0.3288969868296169,0.10679705897291447,0.9674012856317207
MSH6,0.44560239653141753,0.19343099831535937,0.9407387325819166
CD23,0.3453509342421415,-0.020396783954457876,0.7591517449373912
GFAP,-0.016857718553334393,-0.3924379815686756,1.1387653469825028
SYNA,0.2351795290825975,0.00734014274457051,0.9783156229233404
Podoplanin,0.039603116619249305,-0.011719563708406655,0.8958734459314726
Vimentin,0.05885511604274876,-0.1387915153459589,1.0635902662549113
CD47,0.08701176517888208,-0.00288922202008024,0.9356474707282721
CD74,0.4248313413339664,0.17047055877016892,0.9861922811174864
SIRP,0.03244163833496321,-0.18340665827499647,0.9549544744291601
Granzyme B,0.23178955222988515,-0.047195278809908814,0.8793432516807743
IDH1,0.44011539323287674,0.17499335983675335,0.9990342220629713
MPO,0.27641053402399185,0.05997550037806654,0.7934359026241253
CD45,0.24513869049543147,0.05963781653129696,0.9284399076033579
CD21,0.09879018857514085,-0.15884814319781015,1.0677130908619006
FIBR,0.1440534862565124,0.0035646051173812143,0.9394880626409142
C-KIT,0.2558901661423355,0.0512451907856285,0.834895162243053
CD3e,0.21546654374915908,0.03135652041439374,0.9436925663177457
TOX,0.35655054416604826,0.06146756537920761,0.8674288493191944
PD-1,0.16907189085711205,0.024569818160975365,0.9296784495313306
PDGFR,0.2300345919220238,0.045565364803465846,0.7846932756171501
CD4,0.25697551368557164,0.06538989251086336,0.9403801981138813
MAP2,0.35548144805683646,0.12300238493896842,0.8779769280791891
CD8,0.09470534063297523,0.0088440739379958,0.8460184986975574
MGMT,0.25547266720098405,-0.15646887112776775,0.9579116185442915
CD38,0.20084822621690432,0.03968866994346387,0.9204064375895035
HLA-DR,0.30297988832121797,0.08964563047356588,0.9547096744841317
CD14,0.3815213639205963,0.13318255902711085,0.9816820065986936
ICOS,0.2712679986786761,0.05489334615103736,1.0286605362393415
Granzyme K,0.10681633313963582,-0.024080239969495265,0.9857139545385335
