protein,pearsonr,r2,rmse
synd,0.050909618169677595,-0.06584597232081468,1.1328196605566283
FOXP3,0.31081887207932973,-0.0014991397822066155,1.0041944137241345
CD16,0.0763064841747309,-0.12445243250737059,0.9225587368020846
CD31,0.25123160049548376,0.05150244519445901,0.9748810333475918
CXCL13,0.3354090392831218,0.001985111393892347,1.0278659991214114
Ki67,0.2419064704048997,0.016959227428426926,0.943001328562754
OLIG2,0.3954243345488618,0.13670624673181264,0.9252173177521702
CXCR5,0.2555049954302458,-0.016892947232100664,1.0811022755502138
HLA-A,0.2379515210299679,0.040722717328692926,0.9281963668109471
PD-L1,0.19716877054965762,0.0075571029576319,1.027033936287773
PSD95,0.2555367925026192,0.042657859200312176,0.9629097841863274
CD20,0.18405579880903594,-0.003017047930700123,1.1305497460033769
CD68,0.4699178506086113,0.14494538175634852,1.206667432867879
CD44,0.21677354722403822,-0.0008825025736700631,0.9041449186371071
SMA,0.2703841869406425,0.06771780803217065,0.9329568047185544
MSH6,0.3881882759280674,0.13915212928954057,0.959078521045005
CD23,0.3584955013945913,0.11360450710675685,1.0329714880871506
GFAP,0.02737933668466443,-0.12983499589929548,0.8708310348558774
SYNA,0.3951398993706196,0.12468572655698551,1.0147099714997876
Podoplanin,0.13107693209748583,0.01640673078152266,1.0772880236392837
Vimentin,0.12424804900598144,-0.06101275962480468,0.9961637090135289
CD47,0.2752624546019683,0.02965158026327508,1.030949650310799
CD74,0.4001804393520854,0.13931185174951366,0.8552827548174041
SIRP,0.2586786698833208,-0.02689967384121128,1.0028569911509495
Granzyme B,0.3436735162658901,0.07902997017758884,1.1306605316625207
IDH1,0.33537370316495696,0.08097230879487705,1.007081759400286
MPO,0.41911878338922104,0.11276308940803803,1.196895660982681
CD45,0.45540910433530635,0.15792394108032515,0.9644067889502256
CD21,0.20499619905683322,-0.04244334175621023,1.08394866723437
FIBR,0.1707502382030386,-0.04229116912654929,1.0863644765758218
C-KIT,0.3597487747466841,0.09630568783735016,1.0657205268455727
CD3e,0.12598033906367082,-0.026946342172950555,1.0723710861108244
TOX,0.4024307423726659,0.13712870964362067,1.1506707175694526
PD-1,0.3183442647878231,-0.04314208132521702,1.105452225852805
PDGFR,0.34202345175817506,0.10433815314507822,1.1101093608341657
CD4,0.2981680231606309,0.0065712738706839025,1.0101565305321745
MAP2,0.42683819182420446,0.14306867948700497,1.0660699814729542
CD8,0.2840382038532109,0.062416603464198195,1.1411079229005356
MGMT,0.4079161321608711,0.16266564887343138,0.9228977117532671
CD38,0.17885136412524882,-0.11746354864497355,1.0303159663966106
HLA-DR,0.4449983219198568,0.16952572086370643,0.9368196611696096
CD14,0.3137988692848468,0.016471635517143257,0.8593360353994186
ICOS,0.27058414483504056,-0.030087772763479403,1.0209899250256504
Granzyme K,0.13823219968060285,-0.5780943517083319,1.1846055454064686
