protein,pearsonr,r2,rmse
synd,0.2659005506223306,-0.09225903621825138,0.9794834599622296
FOXP3,0.2884293851904758,0.047589516942705745,0.9680293613539396
CD16,0.13738401453274005,0.017715727201865428,1.0408674279481627
CD31,0.23231645656886157,0.05211078687991921,0.9618783139383046
CXCL13,0.12367820252396365,-0.02339986559691587,1.084599017519903
Ki67,0.2393603929312706,0.04360889486107966,0.9450872288790708
OLIG2,0.334553470475356,0.10182885368017458,0.9358245957357827
CXCR5,0.11370888589721884,0.007683695509605903,1.0205814022458113
HLA-A,0.19704241998474697,0.022861206441101012,1.0559692653241135
PD-L1,0.14614683439335438,-0.01565452724862726,1.095790891598486
PSD95,0.09203747612366739,-0.037510155013594115,1.1148210309272448
CD20,0.006198094294513672,-0.0028033706964900595,0.996401524688023
CD68,0.08102608398669858,0.005206634626266027,0.8671670811118833
CD44,0.24136308802748982,0.03946790116890764,0.8941295381081883
SMA,0.24029761790109117,0.05734672485512016,0.9579786872963127
MSH6,0.36491713645223095,0.10777908455156926,0.9198952027528408
CD23,0.22869215242128124,0.0006281073275815618,1.1787589196112587
GFAP,0.05245880070710405,-0.29556926338815415,1.2019779393136243
SYNA,0.14527528494323283,-0.44506257801339966,0.9511946840691399
Podoplanin,-0.016251317114319663,-0.00038399825061263826,0.9387987630191262
Vimentin,0.04116866537952773,-0.06819690118836275,0.9890931601799936
CD47,0.04697360150284574,0.002088230950124892,0.9817214096180148
CD74,0.3077966536294129,0.08353200274164685,0.9912431686201525
SIRP,0.1763833337155225,0.030963403361785935,1.0876111951128073
Granzyme B,0.023353452583816457,-0.05752962673202178,0.8561600882071237
IDH1,0.28359066691743884,0.07756624221197417,0.8720699655803075
MPO,0.08563281610352891,0.006019780028939659,0.9348266856924509
CD45,0.15155217030025178,0.01537270156025028,0.9674756607985712
CD21,0.05946934802826771,-0.16562036727872553,0.9555631620883345
FIBR,0.09744151049619791,-0.10173387638991893,1.0651821835860995
C-KIT,0.0956418560313348,-0.01581431620741447,0.9943065778383667
CD3e,0.17513705345175964,-0.024549910807482256,1.0282230998886246
TOX,0.13917700570126615,-0.010669153015243404,0.9025516222307515
PD-1,0.09497473371125872,-0.031643984488778365,0.9963733963994659
PDGFR,0.04895935562800058,-0.01551336045094076,1.0174721522358603
CD4,0.1977259279735101,0.030220885000722064,0.9511866886242165
MAP2,0.3816690285834148,-0.09388927482517584,1.1521121940457648
CD8,0.06752390484564014,-0.006284746240738492,1.0069682462296872
MGMT,0.15553611047288946,-0.28750337246808844,1.3459609363082958
CD38,0.12271023459804883,0.013688537598727901,0.9428865560103291
HLA-DR,0.22871242807728986,0.04607331507640866,0.9187770424662778
CD14,0.33247947478657774,0.09892133639876677,0.9412415905649482
ICOS,0.2175874446560409,0.005363386613711718,0.979145004695235
Granzyme K,0.012464486500455264,-0.020298525929562716,0.8348805640493698
