fold,protein,pearson_r,rmse,mae
5,synd,0.5670820679776631,0.4018092155456543,0.2744242250919342
5,FOXP3,0.4564034313734969,0.23440732061862946,0.1744232326745987
5,CD16,0.4789220084604167,0.6157103180885315,0.46662023663520813
5,CD31,0.334258701699028,0.3296559154987335,0.21544553339481354
5,CXCL13,0.40335092336132816,0.24819651246070862,0.18613384664058685
5,Ki67,0.4621722905297045,1.0026012659072876,0.8184470534324646
5,OLIG2,0.49213758658791096,0.4462655484676361,0.3588981032371521
5,CXCR5,0.3898854280911982,0.2326894998550415,0.1678725928068161
5,HLA-A,0.29819841277789966,0.4211657643318176,0.33759579062461853
5,PD-L1,0.37056696496350655,0.255788117647171,0.19195401668548584
5,PSD95,0.41639960260378817,0.6159185767173767,0.49728724360466003
5,CD20,0.3777794053496551,0.3082984685897827,0.21770188212394714
5,CD68,0.31244548827131235,0.3280210494995117,0.23016531765460968
5,CD44,0.4952607319337548,0.7446574568748474,0.5686079263687134
5,SMA,0.28314147457109046,0.5973591208457947,0.4238136112689972
5,MSH6,0.4882381228134782,0.41944408416748047,0.3304819166660309
5,CD23,0.5489304701508626,0.6100037693977356,0.48210597038269043
5,GFAP,0.4415365895479983,0.32957103848457336,0.2560361623764038
5,SYNA,0.4679979284674447,0.2799874246120453,0.20219506323337555
5,Podoplanin,0.33913389584801323,0.4093734920024872,0.3167119324207306
5,Vimentin,0.3191762665533196,0.331478476524353,0.25443586707115173
5,CD47,0.3393705195955778,0.22221554815769196,0.1595136970281601
5,CD74,0.4489774197267604,0.755172073841095,0.6005071997642517
5,SIRP,0.44429638443225977,0.25782692432403564,0.19196532666683197
5,Granzyme B,0.5624366933316345,0.4919552803039551,0.3742498457431793
5,IDH1,0.49507533212677646,0.2596140205860138,0.19448210299015045
5,MPO,0.5731080166187117,0.27208635210990906,0.19030486047267914
5,CD45,0.26346511279028445,0.32795602083206177,0.24297115206718445
5,CD21,0.43970599328935095,0.28639793395996094,0.19833359122276306
5,FIBR,0.3855351639668581,0.18785662949085236,0.13568845391273499
5,C-KIT,0.5088211015756057,0.45055532455444336,0.35568708181381226
5,CD3e,0.3017497430952438,0.25215962529182434,0.18102510273456573
5,TOX,0.5907639464574828,0.38780152797698975,0.27519717812538147
5,PD-1,0.3996580467543024,0.20357957482337952,0.1477242112159729
5,PDGFR,0.5346649941390077,0.38234299421310425,0.29941070079803467
5,CD4,0.370542997801272,0.24788813292980194,0.18032784759998322
5,MAP2,0.5509191974314342,0.4085172414779663,0.30433377623558044
5,CD8,0.4685828121364909,0.3521049916744232,0.2478482723236084
5,MGMT,0.28306416067919266,0.29882994294166565,0.20898325741291046
5,CD38,0.3282517878374437,0.29479748010635376,0.22079786658287048
5,HLA-DR,0.33108133513751875,0.40044137835502625,0.28485509753227234
5,CD14,0.4059409558809435,0.3871232569217682,0.28860923647880554
5,ICOS,0.4296710953829409,0.19507211446762085,0.1414908915758133
5,Granzyme K,0.45067403241497805,0.28551238775253296,0.21781915426254272
