gene
MBP
AQP4
SPARC
PLP1
HIST1H1C
GADD45G
ITM2C
HIST1H1B
EGFR
ID4
HES6
SRI
ADGRG1
YBX1
LRIG1
SOX4
RGMA
PTPRZ1
NRXN1
SDC3
H3F3A
CCNI
DBI
DYNC1LI2
MAP4K4
DPYSL3
CIRBP
PHYHIPL
CFL1
EEF1G
HSPA8
MIF
KIF1B
PEBP1
C12orf57
TIMP3
SOX2
MYL6
BEX3
MLLT11
VCAN
ENAH
UBA52
AKT3
RTN3
NOVA1
PMP2
LAPTM4B
EEF2
DNER
NCAN
NFIX
PTPRS
NHP2
CORO1C
NFIB
PRDX2
HNRNPA2B1
TSPAN3
ZBTB20
DCLK2
FTL
SPECC1
APP
CCDC88A
PFN1
HNRNPA3
NME2
DPYSL2
MT-ND5
FAM181B
CNN3
SPAG9
MAP1B
OLIG1
PEA15
GPX4
QKI
CALCRL
SELENOW
MT-ND1
PTMS
HNRNPH3
GDI1
TMSB15A
NTRK2
FADS2
MSTN
CDK2AP1
NREP
DDR1
EIF4A1
MAT2A
MT-ND6
VIM
UCHL1
CPE
FTH1
PPDPF
CHCHD2
EIF3L
KIF5B
MSI2
MCL1
ATP2C1
MTSS2
TTC3
SPTAN1
SLC44A1
ZNF644
CLIC4
RHOC
TPM4
MARCKS
HIPK2
MFF
YWHAE
BRI3
TXNL4A
PTN
GOLM1
APCDD1
ATF7IP
DYNLRB1
RTN4
CTXN1
H1FX
OAZ1
CKB
MAPK10
DHX36
EPHB1
APC
CRABP1
SELENOH
STAU2
DSTN
BAG6
HNRNPL
SNCAIP
MARCKSL1
ATRNL1
MCM7
CTNND1
CFDP1
CLASP2
DST
SYT11
ACTG1
HNRNPD
NCBP2
WSB2
DYNLL2
ASPH
ZNF428
NUCKS1
MAGED2
MAP2
HNRNPA0
RNF7
GPM6B
METRN
LSAMP
TIMP2
MAPT
DTNA
BEX1
NDFIP1
ALCAM
BEX4
MYEF2
CCNL2
PSAP
APEX1
RBM3
WSB1
ASXL1
METTL9
RAB3IP
CSTF3
KLHDC3
TBCB
GOLIM4
RACK1
CDKN2C
ACTB
SGCB
RAB6B
BTF3L4
CSNK1E
MDM4
WDR26
CNBP
SUMO2
GLUL
GNAI2
APC2
TMSB10
SMC4
TMEFF1
DDX5
SCD5
TTYH1
ZEB2
KDM1A
FEZ1
CADM4
MPV17
CSRP1
SMARCC1
NCAM1
KIF5C
S100A6
SMARCA4
MAPK8IP1
PRMT2
SAT1
TRIR
PJA2
SMARCB1
APOE
ATN1
B2M
TBL1XR1
WDR82
AMOTL2
CTSB
CD74
ASCL1
SLC39A6
ETS1
CST3
KMT2C
ATP5MC2
PFDN2
SSR2
GNB2
ID3
STAU1
SEC62
RAB11B
MXRA7
CDH2
LRRN1
EEF1B2
LRP4
TNR
PHGDH
KMT2E
CALM3
NPDC1
YWHAZ
AKR1B1
LUC7L3
LINGO1
USP9X
IDH2
DVL3
SENP6
RBM5
KIDINS220
NUDT3
SPIN1
SEC11C
RPRD1A
HLTF
UBE2E3
SLC30A9
URI1
PPP4R1
SSRP1
PSAT1
PON2
BRD2
HNRNPUL1
BNIP3L
MT-ND3
SETD5
GNAQ
IFI16
ERGIC3
NDUFAF8
LTBP3
FAM3C
SPP1
CDK16
LAMTOR4
SMARCA5
HSP90AA1
NCKAP1
EIF4A2
CBX5
HSP90AB1
DRAP1
USF2
TYMS
LIX1L
RUFY3
UQCRC1
CDH11
SEC11A
TSPAN7
MAGED1
ELAVL3
CCT6A
SALL3
RBM33
MSRA
KCTD3
JUND
CALD1
STMN2
ATP5MG
ILF3
NME4
NDUFS4
TOP2A
APLP2
SUGP2
ADCYAP1R1
CTTN
ZNF358
CAND1
ANAPC11
UBE2D3
PTTG1IP
NDRG2
GABARAP
ZNF22
HIST1H4C
RANBP9
OLIG2
LTBP4
BRD7
VEZF1
RNF187
CSPG5
DDT
MAP4
GADD45GIP1
COX7C
TNC
ZNF532
NUDT21
ATP1A3
DCTN1
ZNF711
CAMSAP2
NFIA
AHCYL1
GPRC5B
CELF2
BTBD2
ABAT
TOMM20
PYGB
CDK4
NKAIN3
CLU
SELENOP
LMO4
QSER1
NDUFC2
EVL
PHPT1
TFRC
PPP4R3B
NEDD4L
PAFAH1B1
TCF4
NDUFV2
KMT5B
EID1
ZFP36L2
NDUFB5
GRIK2
TUFM
RAB13
CCDC50
BTG1
GPM6A
PSMB5
IGFBP7
DDAH2
CLCN3
PFN2
CTNNA2
CRMP1
CD63
VEGFB
SPARCL1
PNISR
SRPK2
TXNL1
SOX8
ARHGAP35
ATP9A
SNU13
LAMTOR1
CDK1
NRCAM
SLTM
EIF4EBP2
KHDRBS3
MT-ND2
NT5DC2
PDE4D
GFAP
HDGFL3
PRCP
MCM4
CCND1
TRIP12
AMFR
TNIK
SPG21
LUC7L
YWHAQ
USP34
UBE2I
HNRNPUL2
CCK
PCM1
NDUFB11
B4GALT5
ATP2B4
ZHX1
VPS26B
SMS
PAFAH1B2
ATP5F1B
ATP5F1E
CCDC124
OGA
LDHB
NCAPG2
TAOK1
SLC3A2
HBS1L
PUF60
PPP1CB
IGSF9B
NOTCH1
U2SURP
