epoch,train_loss,valid_loss,valid_mean_pearson,lr
1,0.8927161765821052,0.7704920768737793,0.3085565339018817,0.00029999703912842054
2,0.7525901686061512,0.7147400379180908,0.3689745056785837,0.00029998815663057245
3,0.712483033989415,0.7048141360282898,0.38219881557818636,0.0002999733528571214
4,0.693901620127938,0.6846271753311157,0.40146117173545454,0.000299952628392495
5,0.6787925958633423,0.6801642179489136,0.4070196072287173,0.0002999259840548598
6,0.6694963177045187,0.6703920364379883,0.41684443235931606,0.0002998934208960884
7,0.660489918607654,0.6733763217926025,0.41630616867953735,0.00029985494020171873
8,0.6540952306805234,0.6695958375930786,0.4192203432548218,0.00029981054349090264
9,0.6476221391648957,0.6676852107048035,0.42138228311232273,0.0002997602325163463
10,0.6417694290479025,0.6674573421478271,0.4224000301053863,0.00029970400926424077
11,0.6360793258204605,0.6733967065811157,0.41779186800208645,0.0002996418759541838
12,0.6312354532155123,0.6654878854751587,0.4238494232197547,0.00029957383503909215
13,0.6242437326546871,0.6758534908294678,0.41685779172269766,0.0002994998892051045
14,0.6202078082344749,0.6743296384811401,0.4190256084018836,0.0002994200413714759
15,0.6156666080156962,0.6756045818328857,0.4172208489601234,0.00029933429469046203
16,0.6092877929860895,0.668023943901062,0.4209207587524569,0.00029924265254719506
17,0.605189070557103,0.6793434619903564,0.41388734747702566,0.00029914511855954983
18,0.6002882159117496,0.6742767095565796,0.41669426568651496,0.0002990416965780013
19,0.5958659341841033,0.67405104637146,0.41681032679732083,0.00029893239068547206
20,0.5907833124652053,0.6836954355239868,0.4124660089164027,0.00029881720519717175
21,0.5885003895470591,0.6865894198417664,0.4110285981428408,0.00029869614466042604
22,0.5824998165621902,0.6813022494316101,0.4124198130517863,0.00029856921385449774
23,0.5821207165718079,0.6808289289474487,0.4132297250981944,0.0002984364177903977
24,0.5777132222146699,0.6771270036697388,0.41494747435028717,0.0002982977617106872
25,0.5746590802163789,0.6799005270004272,0.4142784497397775,0.0002981532510892708
26,0.5722971396012739,0.6738379001617432,0.4167364628258539,0.00029800289163118036
27,0.5693202614784241,0.6760940551757812,0.41644542451836647,0.0002978466892723499
28,0.5658471223079797,0.6761276125907898,0.4156263411063683,0.00029768465017938103
29,0.5646353056936553,0.6742762923240662,0.41786814358658336,0.0002975167807492997
30,0.5627815289930864,0.6778843998908997,0.41661123804138445,0.00029734308760930354
31,0.5596217350526289,0.677025556564331,0.4157458282129405,0.00029716357761650034
32,0.5583099758986271,0.677809476852417,0.4160597962164129,0.0002969782578576373
33,0.557869533697764,0.6792441606521606,0.41657417716635425,0.0002967871356488211
34,0.5545820756392046,0.6783181428909302,0.41542747205711206,0.0002965902185352293
35,0.5539432601495222,0.6754662990570068,0.41722544115462235,0.00029638751429081236
36,0.550837491497849,0.677486777305603,0.41682614206624286,0.00029617903091798685
37,0.5505252715313074,0.6822760105133057,0.41253252745698926,0.0002959647766473192
