fold,mean_pearson_r,mean_rmse,mean_mae,feature_selection,n_hvg_selected,pca_components,pca_explained_variance
1,0.4390655240140081,0.3833544769070365,0.28779260272329504,variance,2000.0,256.0,0.16007938981056213
2,0.44895807514410024,0.3832846046848731,0.28681890768083657,variance,2000.0,256.0,0.15998053550720215
3,0.48345882642222,0.38018154657699843,0.2848335199735381,variance,2000.0,256.0,0.1600423902273178
4,0.4856290972349417,0.3937579379840331,0.29082844338633795,variance,2000.0,256.0,0.16000831127166748
5,0.4238494235121577,0.38114111802794715,0.28667007793079724,variance,2000.0,256.0,0.1601947844028473
