gene
LTBP2
TCIRG1
CRIP1
TIMP1
LYZ
CRYAB
COL1A2
SLC25A19
CHI3L1
UNC13D
IGKC
RCAN3
MMP19
WDFY4
LUM
CYP1B1
CTSS
CCN1
CCL3
MYOF
MST1
ITPR1
CXCL12
ACSF2
ISLR
CP
PLEKHM1
CXCR4
ITGB5
MKNK1
AK9
FERMT3
BTBD19
EMILIN2
GALM
TRBC2
CLMN
NDRG1
SLFN5
NCF2
COL14A1
COL6A3
ADORA2A
ITGB2
CHCHD7
OR2T11
TMSB4X
AGTRAP
PLTP
C2orf42
OGN
CDKN1A
TMEM37
GPNMB
BCL11A
IRF1
COL1A1
WDR31
STK35
ABCG1
ARHGAP25
CYB561A3
CEBPB
FAM155A
FBLN2
NOLC1
COL3A1
MSN
MC1R
CTSD
RBM47
SLC22A4
AC233723.1
SERPING1
PTGDS
MAF
ECM2
DOCK5
VEGFA
MGP
ZFP36
ITIH2
PARVG
NFKB2
PDE4B
SEL1L3
SWAP70
GFAP
TMBIM1
ABCD2
SAMSN1
IGFBP4
ARHGAP4
SLC41A2
PTPRE
UNC13B
ALMS1
ANTXR2
PCGF1
KLF4
DCLRE1B
ZCCHC2
PGAP3
ITGA3
ANG
MT-CO3
TRBC1
SYT3
COL11A1
TUBB2B
RCSD1
RLF
GIMAP4
FGF17
C1orf61
RGCC
RCBTB2
COL6A2
NFIX
GUSB
CTSH
RELL2
SEMA3C
LRRC73
EIF3L
KCTD12
ZSCAN23
FMNL1
SLC1A5
CD52
AP1S3
TMEM94
FRA10AC1
SLC16A4
MPZL1
AUH
TAGLN
CYB5R1
TSPO
PCYOX1L
A4GALT
HTRA1
CLEC2B
LEF1
ARPC1B
EVI2B
CCL2
HTRA3
TGM2
FYB1
ITIH5
IL4I1
SRGN
PDGFC
PRKCB
FTL
EGR2
IGHM
CTDSP2
ARRDC4
SLC16A14
C7
F13A1
SIGIRR
EPSTI1
JUNB
SAT1
CKB
FUZ
PPIAL4G
FAH
ALDH1A2
HILPDA
FXYD5
TMEM62
SS18L2
C1QC
SELENOP
GPR183
ZNF469
A2M
PARP14
FN1
GIMAP8
MEF2B
LMO2
TMSB10
CSF2RA
P2RY11
STAT2
SOX4
TNRC6C
KLF16
FBXL18
GMDS
VCAN
MUC20
CENPF
LAMP5
BTBD6
NR2F2
METRNL
PPFIA4
GCNT2
TBC1D32
PECAM1
ZNF774
KDM8
WDR1
IRS1
RGL2
OAZ1
NUPR1
DCN
PDGFRB
GADD45G
SH3BGRL
TRAM2
ITGAX
ZNF266
CDCA3
NIT2
RBSN
APOBEC3G
TSPAN3
HSPG2
SH3GL1
CLNK
STXBP5L
JAML
SLCO2B1
CISH
SLAMF6
MAP1LC3A
PLK3
FCGR2A
COL4A2
ATG14
CD74
IDUA
EMP3
FBLN1
FAM13A
COL5A1
VRK2
GNRHR
CLU
RTEL1
BCCIP
S100A9
SUV39H2
XPNPEP1
RGS1
DLC1
TCIM
CREB3L2
ATF5
PI16
MCOLN2
METRN
ZNF493
ZC3H8
SCARF1
SPHK1
ERLIN1
APEX1
NDN
PTPDC1
