fold,protein,pearson,spearman,r2,rmse,mae
0,synd,0.39703652262687683,0.34318642771671476,0.15670359134674072,0.3597046749743919,0.2520381808280945
0,FOXP3,0.33455947041511536,0.30085096332064126,0.11038786172866821,0.19452010586235433,0.1381961554288864
0,CD16,0.29693150520324707,0.28693410548682763,0.08808392286300659,0.6028597085205022,0.44512447714805603
0,CD31,0.34511858224868774,0.23631005935920887,0.11565971374511719,0.3719087184717988,0.25855696201324463
0,CXCL13,0.3096991777420044,0.16366546701310816,0.09406882524490356,0.16906886461620768,0.11962365359067917
0,Ki67,0.396850049495697,0.26415913229098786,0.15678083896636963,1.040181640021723,0.8196786642074585
0,OLIG2,0.353206068277359,0.31787601677246635,0.12472277879714966,0.38040965990227166,0.3085708022117615
0,CXCR5,0.36539536714553833,0.17432575885701754,0.13190388679504395,0.17169383644934172,0.11554408818483353
0,HLA-A,0.21999821066856384,0.2036521116102469,0.04837441444396973,1.0375650845071445,0.8138785362243652
0,PD-L1,0.5243271589279175,0.20423581003081953,0.2742347717285156,0.1757074307040932,0.11908838152885437
0,PSD95,0.3044512867927551,0.27438970350899516,0.09113025665283203,1.3000687489304155,1.0001096725463867
0,CD20,0.16333557665348053,0.16302156163866477,0.023019075393676758,0.2839841399263986,0.15988802909851074
0,CD68,0.5410722494125366,0.2095597125348908,0.2897073030471802,0.3667640070057414,0.24598464369773865
0,CD44,0.41302090883255005,0.3787651931992224,0.17015427350997925,0.7722005489640852,0.5855679512023926
0,SMA,0.3375852406024933,0.22950459453030775,0.11347055435180664,0.6340727795575587,0.45946237444877625
0,MSH6,0.36297082901000977,0.33448230715012744,0.13148921728134155,0.3523039628294333,0.2744460999965668
0,CD23,0.393938273191452,0.3303625809277476,0.15351444482803345,0.9169716472173701,0.6476697325706482
0,GFAP,0.2368401139974594,0.20582040598313603,0.05475693941116333,0.40161861888447803,0.3076464831829071
0,SYNA,0.2969559133052826,0.20005865995822286,0.08676081895828247,0.2765233976663452,0.2049015909433365
0,Podoplanin,0.2754560708999634,0.1571791360996288,0.0744861364364624,0.9857788067042337,0.7134895920753479
0,Vimentin,0.32915836572647095,0.2533070655593876,0.10776638984680176,0.411061042809742,0.316821426153183
0,CD47,0.2805434763431549,0.20635959106862747,0.07676529884338379,0.22972937967654875,0.16497628390789032
0,CD74,0.456106960773468,0.42782321647489474,0.20799660682678223,0.7923770820649296,0.6447141170501709
0,SIRP,0.2945946455001831,0.2655453146196417,0.08425921201705933,0.24056401935324553,0.18740905821323395
0,Granzyme B,0.4397677481174469,0.2722714257117254,0.19235247373580933,0.6205475522800876,0.4059537351131439
0,IDH1,0.3437042236328125,0.27973451293484564,0.11762475967407227,0.29189004036341626,0.22255077958106995
0,MPO,0.5683144330978394,0.1299012237301963,0.3224406838417053,0.2344267629047592,0.13222956657409668
0,CD45,0.5002833604812622,0.270925483023433,0.2486342191696167,0.330309171903476,0.24612803757190704
0,CD21,0.3070412278175354,0.19749113797428033,0.09390896558761597,0.26270895429734953,0.20060116052627563
0,FIBR,0.48545825481414795,0.22678137070906165,0.23464679718017578,0.194459032725323,0.13869458436965942
0,C-KIT,0.4199623763561249,0.27978001200888164,0.17262357473373413,0.662793214257508,0.4424274265766144
0,CD3e,0.44090285897254944,0.2149932935347469,0.1905193328857422,0.21193688792694634,0.1382467895746231
0,TOX,0.5489550828933716,0.2731141377348497,0.30117714405059814,0.34253671411054465,0.20307032763957977
0,PD-1,0.33651354908943176,0.19038898270451057,0.11279445886611938,0.17644725304449188,0.12118438631296158
0,PDGFR,0.4049302637577057,0.26211088185170056,0.16075491905212402,0.6619608439609206,0.43605971336364746
0,CD4,0.47682350873947144,0.2511446514862702,0.2247302532196045,0.26020028025247727,0.19249624013900757
0,MAP2,0.4448530077934265,0.3453780798959247,0.1978631615638733,0.4404786922148746,0.34342944622039795
0,CD8,0.22564049065113068,0.10677893191041934,0.04376697540283203,0.3020835895646861,0.1954593062400818
0,MGMT,0.4793730676174164,0.2693215783117172,0.22909647226333618,0.3944947820748675,0.2543778121471405
0,CD38,0.323941171169281,0.2873637611450857,0.10332870483398438,0.29993946388541254,0.23045645654201508
0,HLA-DR,0.4664466679096222,0.35170954262361454,0.21677595376968384,0.42841167040982675,0.31432008743286133
0,CD14,0.4507439136505127,0.3363651239625611,0.20268702507019043,0.4146507331400073,0.31839895248413086
0,ICOS,0.35649561882019043,0.22508761931090124,0.1261141300201416,0.21500795331649353,0.1542816311120987
0,Granzyme K,0.1715850532054901,0.15827548544021613,0.014754176139831543,0.21629228379735893,0.1650877147912979
1,synd,0.3657122552394867,0.3093600127079928,0.12509846687316895,0.32933293254912527,0.23137593269348145
1,FOXP3,0.3625011444091797,0.3185706619592328,0.12917858362197876,0.17499298737303665,0.12475087493658066
