fold,protein,pearson,spearman,r2,rmse,mae
0,synd,0.37972021102905273,0.3104774326955309,0.137567400932312,0.3637630180441452,0.25526300072669983
0,FOXP3,0.3120568096637726,0.2760959481092068,0.09391278028488159,0.19631304997631568,0.13900457322597504
0,CD16,0.2894735336303711,0.2821599643236522,0.07885921001434326,0.6059012068394429,0.44544801115989685
0,CD31,0.33292803168296814,0.21526508192759305,0.11006879806518555,0.37308250376938806,0.25939446687698364
0,CXCL13,0.2921018600463867,0.1320050426732213,0.08307504653930664,0.17009162097560743,0.11966384202241898
0,Ki67,0.3822627663612366,0.2428756381259195,0.14380818605422974,1.0481525426167673,0.8257756233215332
0,OLIG2,0.33187606930732727,0.2953434917940946,0.10683685541152954,0.38427676209305167,0.3118572533130646
0,CXCR5,0.35269343852996826,0.1490920148679118,0.12234407663345337,0.17263662584899828,0.11560460925102234
0,HLA-A,0.19812041521072388,0.17722922000777336,0.03777754306793213,1.0433260416399677,0.8190135955810547
0,PD-L1,0.5107499957084656,0.17495056353714614,0.2581385374069214,0.17764518931505383,0.11923936754465103
0,PSD95,0.28458815813064575,0.25611369135263945,0.08030921220779419,1.3077851943215653,1.0079491138458252
0,CD20,0.14993692934513092,0.1498401803941533,0.022475004196166992,0.28406320393457263,0.15921279788017273
0,CD68,0.5313774347305298,0.20047111450724678,0.2819984555244446,0.3687488959990963,0.2459723800420761
0,CD44,0.4003123939037323,0.3694465877949424,0.1560724973678589,0.7787247472131277,0.5899423956871033
0,SMA,0.3208068013191223,0.2086008754199385,0.10142761468887329,0.6383649689435464,0.46337541937828064
0,MSH6,0.3379451036453247,0.30847296558447984,0.10957032442092896,0.3567218700511428,0.27712124586105347
0,CD23,0.37109750509262085,0.30126647752878666,0.13678526878356934,0.9259884437453751,0.6556366086006165
0,GFAP,0.19149690866470337,0.1670781713711433,0.03518646955490112,0.40575492476778685,0.3098902702331543
0,SYNA,0.27827760577201843,0.17977302774218196,0.07375222444534302,0.27848590141151597,0.20595543086528778
0,Podoplanin,0.2613721489906311,0.13133411617298577,0.06383717060089111,0.9914337659403699,0.7135277986526489
0,Vimentin,0.3026776611804962,0.2226707236877751,0.09115779399871826,0.41486927823186653,0.3194204866886139
0,CD47,0.2535194158554077,0.18532837434684252,0.06321614980697632,0.23140897344857891,0.1658477634191513
0,CD74,0.44537532329559326,0.41769261983938155,0.19681096076965332,0.7979529326906517,0.6526505351066589
0,SIRP,0.28156524896621704,0.25559014448397077,0.0791197419166565,0.2412381330595561,0.18794821202754974
0,Granzyme B,0.41981518268585205,0.24859365511763848,0.17377245426177979,0.6276448317104769,0.40782442688941956
0,IDH1,0.3236229717731476,0.2582204865053422,0.10260570049285889,0.29436370627491293,0.22432059049606323
0,MPO,0.5586149096488953,0.13213889274083843,0.31129056215286255,0.23634778878870497,0.1290074735879898
0,CD45,0.4888020157814026,0.2588207602719272,0.23860162496566772,0.3325070842368273,0.24841119349002838
0,CD21,0.2891297936439514,0.15811843304384463,0.07980197668075562,0.26474612358090277,0.20255005359649658
0,FIBR,0.4692170023918152,0.19318229133313988,0.2154461145401001,0.19688316131508826,0.14009134471416473
0,C-KIT,0.4037128984928131,0.2691731474728,0.16186285018920898,0.6670894077206341,0.44381552934646606
0,CD3e,0.4244384467601776,0.17289027144402686,0.17980492115020752,0.2133348886580942,0.13879430294036865
0,TOX,0.5420992374420166,0.27593184830629414,0.2902624011039734,0.34520135445793193,0.19962719082832336
0,PD-1,0.31586363911628723,0.15503123104041475,0.09745293855667114,0.17796628096276965,0.12174088507890701
0,PDGFR,0.3832869827747345,0.24626695599463108,0.1460903286933899,0.6677191864853489,0.43830665946006775
0,CD4,0.47181808948516846,0.24953150220373146,0.22193771600723267,0.26066848341824184,0.1926005333662033
0,MAP2,0.4284093379974365,0.3267682539823654,0.18057382106781006,0.4452004375331799,0.34644997119903564
0,CD8,0.22604376077651978,0.09019182877825022,0.05106538534164429,0.300928562800084,0.1937207281589508
0,MGMT,0.462698757648468,0.250450134387551,0.21108412742614746,0.3990768837483618,0.2559776306152344
0,CD38,0.3057137727737427,0.2743345974391877,0.0924234390258789,0.30175787422648664,0.23218479752540588
0,HLA-DR,0.4525505602359772,0.33070299834417666,0.20471608638763428,0.4316973584204967,0.31823983788490295
0,CD14,0.4426867365837097,0.3310126103225202,0.19447040557861328,0.4167818168629989,0.3201129734516144
0,ICOS,0.32868194580078125,0.18886002597997148,0.10494691133499146,0.217596324180071,0.15534818172454834
0,Granzyme K,0.1460549235343933,0.14048674568324507,0.014772355556488037,0.21629029448456144,0.1663428246974945
1,synd,0.3448045253753662,0.2788432234660202,0.11835908889770508,0.3305989169160452,0.23255205154418945
1,FOXP3,0.3379281163215637,0.29419101719427476,0.1134716272354126,0.17656410520380922,0.12561099231243134
1,CD16,0.25339657068252563,0.24718634768635928,0.06324928998947144,0.577710131690437,0.42438334226608276
1,CD31,0.3585974872112274,0.22449093700044062,0.12830322980880737,0.3587343891748093,0.24850085377693176
1,CXCL13,0.2954331338405609,0.12472169850845619,0.08561307191848755,0.1571555006662081,0.1102357730269432
1,Ki67,0.4081827700138092,0.24688497142588206,0.164348304271698,1.0539336159265869,0.8233680129051208
1,OLIG2,0.3166658580303192,0.2855411962358768,0.09834754467010498,0.3697026127606582,0.30062565207481384
1,CXCR5,0.43515151739120483,0.15568392998319905,0.1857839822769165,0.15871406393424534,0.10424859821796417
1,HLA-A,0.1740916520357132,0.1524362148839887,0.029074430465698242,1.0214529816743219,0.8023394346237183
1,PD-L1,0.5542193651199341,0.15697936178580782,0.3050270080566406,0.15986581962308585,0.11142901331186295
1,PSD95,0.33455923199653625,0.2634636849772161,0.10947346687316895,1.2262355587387939,0.9585847854614258
1,CD20,0.23926040530204773,0.16326132951850428,0.053182005882263184,0.23078874420880638,0.15068849921226501
1,CD68,0.5504037737846375,0.196163019775504,0.2874312996864319,0.359793253778971,0.23530350625514984
1,CD44,0.37927767634391785,0.3420313631135467,0.14325463771820068,0.7929504091744402,0.5896421074867249
1,SMA,0.29544201493263245,0.2000029978884722,0.0853545069694519,0.618249052692556,0.4522041380405426
1,MSH6,0.32435905933380127,0.2974883494069322,0.10372370481491089,0.3376978947467378,0.26572614908218384
1,CD23,0.437802791595459,0.296600428016122,0.18516772985458374,0.8530436592310447,0.610973596572876
