fold,n_train,n_test,alpha,mean_pearson,mean_spearman,mean_r2,mean_rmse,mean_mae
0,132947,33239,0.01,0.3562634712593122,0.23090636678819124,0.13493385098197244,0.4447848101078106,0.32364049841734494
1,132947,33239,0.01,0.3802221068604426,0.22609686315223046,0.153053956952962,0.4241875605079626,0.30976972966031596
2,132946,33240,0.01,0.4189851294186982,0.2451662708714699,0.18715610016476025,0.43339825131974835,0.31512816792184656
3,132958,33228,0.01,0.4105507006699389,0.2596744324908648,0.1767633638598702,0.45828495173571665,0.3261045717041601
4,132946,33240,0.01,0.40761082737960597,0.24105787250593896,0.17507130043073135,0.43497478617286217,0.3177114880897782
