fold,protein,pearson_r,rmse,mae
1,synd,0.05499408687027608,0.5083370804786682,0.3431614935398102
1,FOXP3,0.18006042461632196,0.303247332572937,0.2193293422460556
1,CD16,-0.06710313475580916,0.706997275352478,0.5146231651306152
1,CD31,-0.16212908752320884,0.4442243278026581,0.272724986076355
1,CXCL13,0.09467359881864743,0.33457353711128235,0.21953889727592468
1,Ki67,0.27219695580097386,1.0886462926864624,0.8896482586860657
1,OLIG2,0.1395831796881294,0.5342262983322144,0.41434699296951294
1,CXCR5,-0.04077563198330382,0.34224167466163635,0.2087792605161667
1,HLA-A,-0.13641730508547323,0.5740224719047546,0.3892211616039276
1,PD-L1,-0.03654255912808731,0.3385659456253052,0.21475905179977417
1,PSD95,0.1357921650684031,0.6509961485862732,0.5475698709487915
1,CD20,0.26637654691824963,0.42305290699005127,0.27454400062561035
1,CD68,-0.06639244282736755,0.4282114505767822,0.2748252749443054
1,CD44,0.10370952208961792,0.9404072761535645,0.6751482486724854
1,SMA,0.028793507377653835,0.6938395500183105,0.45388442277908325
1,MSH6,0.08752768450131845,0.487985759973526,0.3658696115016937
1,CD23,0.2909396217018774,0.6744750142097473,0.5649042725563049
1,GFAP,-0.05564974799212409,0.41567668318748474,0.3142629563808441
1,SYNA,-0.14372706220314693,0.49318450689315796,0.29737016558647156
1,Podoplanin,0.024233607153075404,0.5430635809898376,0.35219958424568176
1,Vimentin,0.06173188725303683,0.3159216344356537,0.2499803751707077
1,CD47,0.13619454724142221,0.27460959553718567,0.1682971566915512
1,CD74,0.02140529721055306,0.8304709792137146,0.7096334099769592
1,SIRP,-0.05797311350867844,0.32800841331481934,0.22060266137123108
1,Granzyme B,0.19175794817223218,0.6177577376365662,0.46973299980163574
1,IDH1,0.15589429590899653,0.3071037232875824,0.23549091815948486
1,MPO,0.32907082425224804,0.3728090226650238,0.22505751252174377
1,CD45,0.16025257511397167,0.3562227785587311,0.2616496980190277
1,CD21,0.24976668280413766,0.5003178715705872,0.2411143183708191
1,FIBR,0.12989777675657796,0.2636036276817322,0.15677689015865326
1,C-KIT,0.020112767851953334,0.5208235383033752,0.41424739360809326
1,CD3e,0.06957152467859624,0.3494323194026947,0.21599692106246948
1,TOX,0.36011449745972296,0.5225031971931458,0.33968690037727356
1,PD-1,0.1642114328131628,0.33600175380706787,0.19917228817939758
1,PDGFR,0.40421694444662326,0.4368622899055481,0.35465386509895325
1,CD4,-0.03622992030384969,0.26910749077796936,0.1898493617773056
1,MAP2,0.26955556576611006,0.63177490234375,0.39112576842308044
1,CD8,0.21619275177779737,0.4378024935722351,0.27822989225387573
1,MGMT,0.13877760336835807,0.3546486794948578,0.2402668446302414
1,CD38,0.06667439299637037,0.31030187010765076,0.23002204298973083
1,HLA-DR,0.03632326082536074,0.43750008940696716,0.30097559094429016
1,CD14,0.04949530732931182,0.3677099645137787,0.28511542081832886
1,ICOS,-0.024781439350252562,0.2552690804004669,0.1800466924905777
1,Granzyme K,-0.10949968238856639,0.38711193203926086,0.2853071391582489
